mouse,group,condition,laser,time_min,cum_lick_pct
204_1,control,mock,ON,3.0,43.31395348837209
204_1,control,mock,OFF,6.0,62.01550387596899
204_1,control,mock,ON,9.0,66.37596899224806
204_1,control,mock,OFF,12.0,70.25193798449612
204_1,control,mock,ON,15.0,76.35658914728683
204_1,control,mock,OFF,18.0,85.07751937984496
204_1,control,mock,ON,21.0,85.27131782945736
204_1,control,mock,OFF,24.0,85.27131782945736
204_1,control,mock,ON,27.0,85.27131782945736
204_1,control,mock,OFF,30.0,85.27131782945736
204_1,control,mock,ON,33.0,85.27131782945736
204_1,control,mock,OFF,36.0,85.27131782945736
204_1,control,mock,ON,39.0,85.27131782945736
204_1,control,mock,OFF,42.0,85.27131782945736
204_1,control,mock,ON,45.0,85.27131782945736
204_1,control,mock,OFF,48.0,95.25193798449612
204_1,control,mock,ON,51.0,95.25193798449612
204_1,control,mock,OFF,54.0,95.25193798449612
204_1,control,mock,ON,57.0,100.0
204_1,control,stim,OFF,0.0,38.53727144866385
204_1,control,stim,ON,3.0,47.81997187060478
204_1,control,stim,OFF,6.0,59.07172995780591
204_1,control,stim,ON,9.0,71.44866385372714
204_1,control,stim,OFF,12.0,72.78481012658227
204_1,control,stim,ON,15.0,76.16033755274262
204_1,control,stim,OFF,18.0,81.22362869198312
204_1,control,stim,ON,21.0,83.12236286919831
204_1,control,stim,OFF,24.0,84.73980309423348
204_1,control,stim,ON,27.0,85.65400843881856
204_1,control,stim,OFF,30.0,85.65400843881856
204_1,control,stim,ON,33.0,85.65400843881856
204_1,control,stim,OFF,36.0,88.88888888888889
204_1,control,stim,ON,39.0,95.28832630098452
204_1,control,stim,OFF,42.0,97.46835443037975
204_1,control,stim,ON,45.0,97.53867791842475
204_1,control,stim,OFF,48.0,97.60900140646976
204_1,control,stim,ON,51.0,97.60900140646976
204_1,control,stim,OFF,54.0,100.0
204_1,control,stim,ON,57.0,100.0
204_4,control,mock,OFF,0.0,15.738963531669867
204_4,control,mock,ON,3.0,25.143953934740882
204_4,control,mock,OFF,6.0,31.477927063339735
204_4,control,mock,ON,9.0,41.8426103646833
204_4,control,mock,OFF,12.0,41.8426103646833
204_4,control,mock,ON,15.0,54.31861804222648
204_4,control,mock,OFF,18.0,55.27831094049904
204_4,control,mock,ON,21.0,60.46065259117083
204_4,control,mock,OFF,24.0,64.29942418426103
204_4,control,mock,ON,27.0,67.37044145873321
204_4,control,mock,OFF,30.0,75.43186180422265
204_4,control,mock,ON,33.0,76.00767754318618
204_4,control,mock,OFF,36.0,77.35124760076776
204_4,control,mock,ON,39.0,83.49328214971209
204_4,control,mock,OFF,42.0,83.49328214971209
204_4,control,mock,ON,45.0,83.6852207293666
204_4,control,mock,OFF,48.0,84.06909788867563
204_4,control,mock,ON,51.0,84.26103646833013
204_4,control,mock,OFF,54.0,92.13051823416507
204_4,control,mock,ON,57.0,100.0
204_4,control,stim,OFF,0.0,9.208103130755065
204_4,control,stim,ON,3.0,25.04604051565378
204_4,control,stim,OFF,6.0,36.83241252302026
204_4,control,stim,ON,9.0,52.117863720073665
204_4,control,stim,OFF,12.0,56.353591160220994
204_4,control,stim,ON,15.0,56.537753222836095
204_4,control,stim,OFF,18.0,72.74401473296501
204_4,control,stim,ON,21.0,77.71639042357275
204_4,control,stim,OFF,24.0,77.71639042357275
204_4,control,stim,ON,27.0,77.71639042357275
204_4,control,stim,OFF,30.0,77.71639042357275
204_4,control,stim,ON,33.0,77.71639042357275
204_4,control,stim,OFF,36.0,77.71639042357275
204_4,control,stim,ON,39.0,86.1878453038674
204_4,control,stim,OFF,42.0,87.84530386740332
204_4,control,stim,ON,45.0,89.31860036832413
204_4,control,stim,OFF,48.0,90.05524861878453
204_4,control,stim,ON,51.0,90.05524861878453
204_4,control,stim,OFF,54.0,98.15837937384899
204_4,control,stim,ON,57.0,100.0
652_1,control,mock,OFF,0.0,25.265017667844525
652_1,control,mock,ON,3.0,31.360424028268554
652_1,control,mock,OFF,6.0,37.63250883392226
652_1,control,mock,ON,9.0,43.90459363957597
652_1,control,mock,OFF,12.0,54.06360424028268
652_1,control,mock,ON,15.0,57.155477031802114
652_1,control,mock,OFF,18.0,58.745583038869256
652_1,control,mock,ON,21.0,63.25088339222616
652_1,control,mock,OFF,24.0,66.96113074204946
652_1,control,mock,ON,27.0,71.5547703180212
652_1,control,mock,OFF,30.0,73.40989399293287
652_1,control,mock,ON,33.0,78.71024734982332
652_1,control,mock,OFF,36.0,83.92226148409894
652_1,control,mock,ON,39.0,85.33568904593639
652_1,control,mock,OFF,42.0,88.78091872791519
652_1,control,mock,ON,45.0,91.51943462897526
652_1,control,mock,OFF,48.0,94.96466431095406
652_1,control,mock,ON,51.0,95.84805653710248
652_1,control,mock,OFF,54.0,99.1166077738516
652_1,control,mock,ON,57.0,100.0
652_1,control,stim,OFF,0.0,32.05944798301486
652_1,control,stim,ON,3.0,38.6411889596603
652_1,control,stim,OFF,6.0,38.6411889596603
652_1,control,stim,ON,9.0,38.6411889596603
652_1,control,stim,OFF,12.0,61.57112526539278
652_1,control,stim,ON,15.0,63.26963906581741
652_1,control,stim,OFF,18.0,63.26963906581741
652_1,control,stim,ON,21.0,63.26963906581741
652_1,control,stim,OFF,24.0,81.74097664543525
652_1,control,stim,ON,27.0,85.35031847133759
652_1,control,stim,OFF,30.0,85.35031847133759
652_1,control,stim,ON,33.0,85.35031847133759
652_1,control,stim,OFF,36.0,85.35031847133759
652_1,control,stim,ON,39.0,85.35031847133759
652_1,control,stim,OFF,42.0,90.65817409766454
652_1,control,stim,ON,45.0,90.65817409766454
652_1,control,stim,OFF,48.0,90.65817409766454
652_1,control,stim,ON,51.0,90.65817409766454
652_1,control,stim,OFF,54.0,90.65817409766454
652_1,control,stim,ON,57.0,100.0
652_2,control,mock,OFF,0.0,30.947775628626694
652_2,control,mock,ON,3.0,41.97292069632495
652_2,control,mock,OFF,6.0,48.54932301740813
652_2,control,mock,ON,9.0,48.74274661508704
652_2,control,mock,OFF,12.0,56.2862669245648
652_2,control,mock,ON,15.0,56.2862669245648
652_2,control,mock,OFF,18.0,56.2862669245648
652_2,control,mock,ON,21.0,75.62862669245648
652_2,control,mock,OFF,24.0,85.88007736943906
652_2,control,mock,ON,27.0,92.45647969052224
652_2,control,mock,OFF,30.0,92.45647969052224
652_2,control,mock,ON,33.0,95.93810444874275
652_2,control,mock,OFF,36.0,95.93810444874275
652_2,control,mock,ON,39.0,97.29206963249516
652_2,control,mock,OFF,42.0,97.48549323017409
652_2,control,mock,ON,45.0,100.0
652_2,control,mock,OFF,48.0,100.0
652_2,control,mock,ON,51.0,100.0
652_2,control,mock,OFF,54.0,100.0
652_2,control,mock,ON,57.0,100.0
652_2,control,stim,OFF,0.0,42.857142857142854
652_2,control,stim,ON,3.0,44.84126984126984
652_2,control,stim,OFF,6.0,48.41269841269841
652_2,control,stim,ON,9.0,59.92063492063492
652_2,control,stim,OFF,12.0,68.65079365079364
